 # Numero de lados/caras de la malla
         649
 # Nodos que componen cada lado/cara y referencia del lado/cara:
          83          80          57             0
          83          40          80             0
          57          40          83             0
          57          80          40             0
          98          85          68             0
          98          62          85             0
          68          62          98             0
          68          85          62             0
          91          77          66             0
          91          64          77             0
          66          64          91             0
          66          77          64             0
         112         108          79             0
         112         105         108             0
          79         105         112             0
          79         108         105             0
          85          73          71             0
          85          13          73             0
          71          13          85             0
          71          73          13             0
          49          41          36             0
          49           7          41             2
          36           7          49             0
          36          41           7             0
          43          37           4             0
          43          31          37             0
           4          31          43             0
           4          37          31             0
          98          90          68             0
          98          88          90             0
          68          88          98             0
          68          90          88             0
          96          71          13             0
          96          53          71             0
          13          53          96             0
          13          71          53             0
          47          39          35             0
          47           3          39             0
          35           3          47             0
          35          39           3             0
         100          75          71             0
         100          74          75             0
          71          74         100             0
          71          75          74             0
          91          77          24             0
          24          66          91             0
          24          77          66             0
          91          72          66             0
          91          52          72             0
          66          52          91             0
          66          72          52             0
          81          78          71             0
          81          65          78             0
          71          65          81             0
          71          78          65             0
         101          90          64             0
         101          84          90             0
          64          84         101             0
          64          90          84             0
         113         106          79             0
         113          61         106             0
          79          61         113             0
          79         106          61             0
         112         111         104             0
         112         105         111             0
         104         105         112             0
         104         111         105             0
         106         103          14             0
         106          94         103             0
          14          94         106             0
          14         103          94             0
         112         107          79             0
         112         106         107             0
          79         106         112             0
          79         107         106             0
          99          90          66             0
          99          28          90             0
          66          28          99             0
          66          90          28             0
          88          45          33             0
          88          38          45             0
          33          38          88             0
          33          45          38             0
          93          92          62             0
          93          90          92             0
          62          90          93             0
          62          92          90             0
          75          62          34             0
          75          21          62             0
          34          21          75             0
          34          62          21             0
          81          76          69             0
          81          72          76             0
          69          72          81             0
          69          76          72             0
          86          43          31             0
          86          37          43             0
          31          37          86             0
         101          90          63             0
         101          77          90             0
          63          77         101             0
          63          90          77             0
          24          52          91             0
          24          66          52             0
          92          90          84             0
          84          62          92             0
          84          90          62             0
          39          35          82             0
          82          47          39             0
          82          35          47             0
         111         105         102             0
         111          48         105             0
         102          48         111             0
         102         105          48             0
          97          73          72             0
          97          15          73             0
          72          15          97             0
          72          73          15             0
          75          64          62             0
          75          21          64             0
